Itinerary,Total Amount,Carrier,Brand Name,Carry On Allowance,Checked Bag Allowance,Seat Selection,Cancellation,Advance Change,Seat Pitch,Seat Type,Direct Aisle Access,Portion Shelves,wifis_quality,fresh_foods_quality
DCA/20200802 06:00/DL2333/OP DL2333/Y/20200802 07:45/ATL~ATL/20200802 09:35/DL0317/OP DL0317/Y/20200802 11:23/MBJ-DL TNNL0NBZ EOU PUBLIC,354.00 USD,DL,BASIC ECONOMY,1 free & personal item,1st for USD30  - 2nd for USD40,At check-in or for a fee,Non-refundable,Free,31~31,standard legroom~standard legroom,no~no,ONE(0),better~better,standard~standard,
DCA/20200802 06:59/DL2049/OP DL2049/Y/20200802 08:59/ATL~ATL/20200802 10:59/DL0727/OP DL0727/Y/20200802 12:50/MBJ-DL TNNL0NBZ EOU PUBLIC,354.00 USD,DL,BASIC ECONOMY,1 free & personal item,1st for USD30  - 2nd for USD40,At check-in or for a fee,Non-refundable,Free,31~31,standard legroom~standard legroom,no~no,ONE(0),better~better,standard~standard,
DCA/20200801 06:59/DL2049/OP DL2049/Y/20200801 08:59/ATL~ATL/20200801 12:48/DL0361/OP DL0361/Y/20200801 14:37/MBJ-DL TNNL0NBZ EOU PUBLIC,354.00 USD,DL,BASIC ECONOMY,1 free & personal item,1st for USD30  - 2nd for USD40,At check-in or for a fee,Non-refundable,Free,31~31,standard legroom~standard legroom,no~no,ONE(0),better~better,standard~standard,
DCA/20200802 06:59/DL2049/OP DL2049/Y/20200802 08:59/ATL~ATL/20200802 12:48/DL0361/OP DL0361/Y/20200802 14:37/MBJ-DL TNNL0NBZ EOU PUBLIC,354.00 USD,DL,BASIC ECONOMY,1 free & personal item,1st for USD30  - 2nd for USD40,At check-in or for a fee,Non-refundable,Free,31~31,standard legroom~standard legroom,no~no,ONE(0),better~better,standard~standard,
DCA/20200801 06:00/DL2333/OP DL2333/Y/20200801 07:45/ATL~ATL/20200801 10:59/DL0727/OP DL0727/Y/20200801 12:50/MBJ-DL TNNL0NBZ EOU PUBLIC,354.00 USD,DL,BASIC ECONOMY,1 free & personal item,1st for USD30  - 2nd for USD40,At check-in or for a fee,Non-refundable,Free,31~31,standard legroom~standard legroom,no~no,ONE(0),better~better,standard~standard,
DCA/20200802 06:00/DL2333/OP DL2333/Y/20200802 07:45/ATL~ATL/20200802 10:59/DL0727/OP DL0727/Y/20200802 12:50/MBJ-DL TNNL0NBZ EOU PUBLIC,354.00 USD,DL,BASIC ECONOMY,1 free & personal item,1st for USD30  - 2nd for USD40,At check-in or for a fee,Non-refundable,Free,31~31,standard legroom~standard legroom,no~no,ONE(0),better~better,standard~standard,
IAD/20200729 07:00/DL2226/OP DL2226/Y/20200729 08:43/ATL~ATL/20200729 09:50/DL0317/OP DL0317/Y/20200729 11:34/MBJ-DL TNNL0NBZ EOU PUBLIC,354.00 USD,DL,BASIC ECONOMY,1 free & personal item,1st for USD30  - 2nd for USD40,At check-in or for a fee,Non-refundable,Free,31~31,standard legroom~standard legroom,no~no,ONE(0),standard~better,standard~standard,
IAD/20200730 07:00/DL2226/OP DL2226/Y/20200730 08:43/ATL~ATL/20200730 09:50/DL0317/OP DL0317/Y/20200730 11:34/MBJ-DL TNNL0NBZ EOU PUBLIC,354.00 USD,DL,BASIC ECONOMY,1 free & personal item,1st for USD30  - 2nd for USD40,At check-in or for a fee,Non-refundable,Free,31~31,standard legroom~standard legroom,no~no,ONE(0),standard~better,standard~standard,
IAD/20200731 07:00/DL2226/OP DL2226/Y/20200731 08:43/ATL~ATL/20200731 09:50/DL0317/OP DL0317/Y/20200731 11:34/MBJ-DL TNNL0NBZ EOU PUBLIC,354.00 USD,DL,BASIC ECONOMY,1 free & personal item,1st for USD30  - 2nd for USD40,At check-in or for a fee,Non-refundable,Free,31~31,standard legroom~standard legroom,no~no,ONE(0),standard~better,standard~standard,
IAD/20200801 05:45/DL2516/OP DL2516/Y/20200801 07:23/ATL~ATL/20200801 08:15/DL0763/OP DL0763/Y/20200801 10:03/MBJ-DL TNNL0NBZ EOU PUBLIC,354.00 USD,DL,BASIC ECONOMY,1 free & personal item,1st for USD30  - 2nd for USD40,At check-in or for a fee,Non-refundable,Free,31~31,standard legroom~standard legroom,no~no,ONE(0),better~better,standard~standard,
IAD/20200801 07:45/DL2226/OP DL2226/Y/20200801 09:34/ATL~ATL/20200801 10:59/DL0727/OP DL0727/Y/20200801 12:50/MBJ-DL TNNL0NBZ EOU PUBLIC,354.00 USD,DL,BASIC ECONOMY,1 free & personal item,1st for USD30  - 2nd for USD40,At check-in or for a fee,Non-refundable,Free,31~31,standard legroom~standard legroom,no~no,ONE(0),standard~better,standard~standard,
IAD/20200801 13:25/DL2090/OP DL2090/Y/20200801 15:29/ATL~ATL/20200801 18:25/DL0313/OP DL0313/Y/20200801 20:19/MBJ-DL TNNL0NBZ EOU PUBLIC,354.00 USD,DL,BASIC ECONOMY,1 free & personal item,1st for USD30  - 2nd for USD40,At check-in or for a fee,Non-refundable,Free,31~31,standard legroom~standard legroom,no~no,ONE(0),standard~better,standard~standard,
IAD/20200802 07:45/DL2226/OP DL2226/Y/20200802 09:34/ATL~ATL/20200802 10:59/DL0727/OP DL0727/Y/20200802 12:50/MBJ-DL TNNL0NBZ EOU PUBLIC,354.00 USD,DL,BASIC ECONOMY,1 free & personal item,1st for USD30  - 2nd for USD40,At check-in or for a fee,Non-refundable,Free,31~31,standard legroom~standard legroom,no~no,ONE(0),standard~better,standard~standard,
IAD/20200729 07:00/DL2226/OP DL2226/Y/20200729 08:43/ATL~ATL/20200729 11:33/DL0727/OP DL0727/Y/20200729 13:15/MBJ-DL TNNL0NBZ EOU PUBLIC,354.00 USD,DL,BASIC ECONOMY,1 free & personal item,1st for USD30  - 2nd for USD40,At check-in or for a fee,Non-refundable,Free,31~31,standard legroom~standard legroom,no~no,ONE(0),standard~better,standard~standard,
IAD/20200730 07:00/DL2226/OP DL2226/Y/20200730 08:43/ATL~ATL/20200730 11:33/DL0727/OP DL0727/Y/20200730 13:15/MBJ-DL TNNL0NBZ EOU PUBLIC,354.00 USD,DL,BASIC ECONOMY,1 free & personal item,1st for USD30  - 2nd for USD40,At check-in or for a fee,Non-refundable,Free,31~31,standard legroom~standard legroom,no~no,ONE(0),standard~better,standard~standard,
IAD/20200731 07:00/DL2226/OP DL2226/Y/20200731 08:43/ATL~ATL/20200731 11:33/DL0727/OP DL0727/Y/20200731 13:15/MBJ-DL TNNL0NBZ EOU PUBLIC,354.00 USD,DL,BASIC ECONOMY,1 free & personal item,1st for USD30  - 2nd for USD40,At check-in or for a fee,Non-refundable,Free,31~31,standard legroom~standard legroom,no~no,ONE(0),standard~better,standard~standard,
IAD/20200801 05:45/DL2516/OP DL2516/Y/20200801 07:23/ATL~ATL/20200801 09:35/DL0317/OP DL0317/Y/20200801 11:23/MBJ-DL TNNL0NBZ EOU PUBLIC,354.00 USD,DL,BASIC ECONOMY,1 free & personal item,1st for USD30  - 2nd for USD40,At check-in or for a fee,Non-refundable,Free,31~31,standard legroom~standard legroom,no~no,ONE(0),better~better,standard~standard,
IAD/20200801 07:45/DL2226/OP DL2226/Y/20200801 09:34/ATL~ATL/20200801 12:48/DL0361/OP DL0361/Y/20200801 14:37/MBJ-DL TNNL0NBZ EOU PUBLIC,354.00 USD,DL,BASIC ECONOMY,1 free & personal item,1st for USD30  - 2nd for USD40,At check-in or for a fee,Non-refundable,Free,31~31,standard legroom~standard legroom,no~no,ONE(0),standard~better,standard~standard,
IAD/20200802 05:45/DL2516/OP DL2516/Y/20200802 07:23/ATL~ATL/20200802 09:35/DL0317/OP DL0317/Y/20200802 11:23/MBJ-DL TNNL0NBZ EOU PUBLIC,354.00 USD,DL,BASIC ECONOMY,1 free & personal item,1st for USD30  - 2nd for USD40,At check-in or for a fee,Non-refundable,Free,31~31,standard legroom~standard legroom,no~no,ONE(0),better~better,standard~standard,
IAD/20200802 07:45/DL2226/OP DL2226/Y/20200802 09:34/ATL~ATL/20200802 12:48/DL0361/OP DL0361/Y/20200802 14:37/MBJ-DL TNNL0NBZ EOU PUBLIC,354.00 USD,DL,BASIC ECONOMY,1 free & personal item,1st for USD30  - 2nd for USD40,At check-in or for a fee,Non-refundable,Free,31~31,standard legroom~standard legroom,no~no,ONE(0),standard~better,standard~standard,
IAD/20200801 05:45/DL2516/OP DL2516/Y/20200801 07:23/ATL~ATL/20200801 10:59/DL0727/OP DL0727/Y/20200801 12:50/MBJ-DL TNNL0NBZ EOU PUBLIC,354.00 USD,DL,BASIC ECONOMY,1 free & personal item,1st for USD30  - 2nd for USD40,At check-in or for a fee,Non-refundable,Free,31~31,standard legroom~standard legroom,no~no,ONE(0),better~better,standard~standard,
IAD/20200802 05:45/DL2516/OP DL2516/Y/20200802 07:23/ATL~ATL/20200802 10:59/DL0727/OP DL0727/Y/20200802 12:50/MBJ-DL TNNL0NBZ EOU PUBLIC,354.00 USD,DL,BASIC ECONOMY,1 free & personal item,1st for USD30  - 2nd for USD40,At check-in or for a fee,Non-refundable,Free,31~31,standard legroom~standard legroom,no~no,ONE(0),better~better,standard~standard,
DCA/20200729 06:30/UA5659/OP UA5659/Y/20200729 08:43/IAH~IAH/20200729 09:40/UA1163/OP UA1163/Y/20200729 13:06/MBJ-UA SNA2A9DN SIP PUBLIC,379.00 USD,UA,ECONOMY,1 free & personal item,1st for USD35  - 2nd for USD45,Anytime,Non-refundable,Free,31~30,standard legroom~standard legroom,no~no,TWO(0),standard~better,standard~n/a,
DCA/20200730 06:30/UA5659/OP UA5659/Y/20200730 08:43/IAH~IAH/20200730 09:40/UA1163/OP UA1163/Y/20200730 13:06/MBJ-UA SNA2A9DN SIP PUBLIC,379.00 USD,UA,ECONOMY,1 free & personal item,1st for USD35  - 2nd for USD45,Anytime,Non-refundable,Free,31~30,standard legroom~standard legroom,no~no,TWO(0),standard~better,standard~n/a,
DCA/20200731 06:30/UA5659/OP UA5659/Y/20200731 08:43/IAH~IAH/20200731 09:40/UA1163/OP UA1163/Y/20200731 13:06/MBJ-UA SNA2A9DN SIP PUBLIC,379.00 USD,UA,ECONOMY,1 free & personal item,1st for USD35  - 2nd for USD45,Anytime,Non-refundable,Free,31~30,standard legroom~standard legroom,no~no,TWO(0),standard~better,standard~n/a,
DCA/20200801 06:30/UA5659/OP UA5659/Y/20200801 08:43/IAH~IAH/20200801 09:40/UA1163/OP UA1163/Y/20200801 13:06/MBJ-UA SNA2A9DN SIP PUBLIC,379.00 USD,UA,ECONOMY,1 free & personal item,1st for USD35  - 2nd for USD45,Anytime,Non-refundable,Free,31~30,standard legroom~standard legroom,no~no,TWO(0),standard~better,standard~n/a,
DCA/20200801 06:00/DL2644/OP DL2644/Y/20200801 07:30/DTW~DTW/20200801 08:50/DL0914/OP DL0914/Y/20200801 11:44/MBJ-DL UNNL0UBV EOU PUBLIC,379.00 USD,DL,BASIC ECONOMY,1 free & personal item,1st for USD30  - 2nd for USD40,At check-in or for a fee,Non-refundable,Free,31~31,standard legroom~standard legroom,no~no,ONE(0),better~better,standard~standard,
IAD/20200801 06:10/DL4032/OP DL4032/Y/20200801 07:43/DTW~DTW/20200801 08:50/DL0914/OP DL0914/Y/20200801 11:44/MBJ-DL UNNL0UBV EOU PUBLIC,379.00 USD,DL,BASIC ECONOMY,1 free & personal item,1st for USD30  - 2nd for USD40,At check-in or for a fee,Non-refundable,Free,30~31,standard legroom~standard legroom,no~no,ONE(0),standard~better,standard~standard,
IAD/20200801 06:00/DL5115/OP DL5115/Y/20200801 07:25/JFK~JFK/20200801 09:59/DL0441/OP DL0441/Y/20200801 13:05/MBJ-DL UNNL0UBV EOU PUBLIC,379.00 USD,DL,BASIC ECONOMY,1 free & personal item,1st for USD30  - 2nd for USD40,At check-in or for a fee,Non-refundable,Free,31~31,standard legroom~standard legroom,no~no,ONE(0),n/a~better,standard~standard,
IAD/20200802 06:00/DL5115/OP DL5115/Y/20200802 07:25/JFK~JFK/20200802 09:59/DL0441/OP DL0441/Y/20200802 13:05/MBJ-DL UNNL0UBV EOU PUBLIC,379.00 USD,DL,BASIC ECONOMY,1 free & personal item,1st for USD30  - 2nd for USD40,At check-in or for a fee,Non-refundable,Free,31~31,standard legroom~standard legroom,no~no,ONE(0),n/a~better,standard~standard,
DCA/20200801 06:00/DL2796/OP DL2796/Y/20200801 07:18/JFK~JFK/20200801 09:59/DL0441/OP DL0441/Y/20200801 13:05/MBJ-DL UNNL0UBV EOU PUBLIC,379.00 USD,DL,BASIC ECONOMY,1 free & personal item,1st for USD30  - 2nd for USD40,At check-in or for a fee,Non-refundable,Free,31~31,standard legroom~standard legroom,no~no,ONE(0),better~better,standard~standard,
DCA/20200802 06:00/DL2796/OP DL2796/Y/20200802 07:18/JFK~JFK/20200802 09:59/DL0441/OP DL0441/Y/20200802 13:05/MBJ-DL UNNL0UBV EOU PUBLIC,379.00 USD,DL,BASIC ECONOMY,1 free & personal item,1st for USD30  - 2nd for USD40,At check-in or for a fee,Non-refundable,Free,31~31,standard legroom~standard legroom,no~no,ONE(0),better~better,standard~standard,
