Itinerary,Total Amount,Carrier,Brand Name,Carry On Allowance,Checked Bag Allowance,Seat Selection,Cancellation,Advance Change,Seat Pitch,Seat Type,Direct Aisle Access,Portion Shelves,wifis_quality,fresh_foods_quality
DCA/20200731 07:00/DL2049/OP DL2049/Y/20200731 08:44/ATL~ATL/20200731 09:53/DL0363/OP DL0363/Y/20200731 12:15/MEX~MEX/20200731 16:50/DL9103/OP AM0338/Y/20200731 18:31/PVR-DL KNNL0NMM SAP PUBLIC,344.00 USD,DL,MAIN CABIN,See rules,1st for USD30  - 2nd for USD55,Anytime,Non-refundable,Free,31~31~31,standard legroom~standard legroom~standard legroom,no~no~no,ONE(0),better~better~n/a,standard~standard~standard,
DCA/20200729 07:00/DL2049/OP DL2049/Y/20200729 08:44/ATL~ATL/20200729 11:53/DL0365/OP DL0365/Y/20200729 14:15/MEX~MEX/20200729 16:50/DL9103/OP AM0338/Y/20200729 18:31/PVR-DL KNNL0NMM SAP PUBLIC,344.00 USD,DL,MAIN CABIN,See rules,1st for USD30  - 2nd for USD55,Anytime,Non-refundable,Free,31~31~31,standard legroom~standard legroom~standard legroom,no~no~no,ONE(0),better~better~n/a,standard~standard~standard,
DCA/20200730 07:00/DL2049/OP DL2049/Y/20200730 08:44/ATL~ATL/20200730 11:53/DL0365/OP DL0365/Y/20200730 14:15/MEX~MEX/20200730 16:50/DL9103/OP AM0338/Y/20200730 18:31/PVR-DL KNNL0NMM SAP PUBLIC,344.00 USD,DL,MAIN CABIN,See rules,1st for USD30  - 2nd for USD55,Anytime,Non-refundable,Free,31~31~31,standard legroom~standard legroom~standard legroom,no~no~no,ONE(0),better~better~n/a,standard~standard~standard,
DCA/20200731 07:00/DL2049/OP DL2049/Y/20200731 08:44/ATL~ATL/20200731 11:53/DL0365/OP DL0365/Y/20200731 14:15/MEX~MEX/20200731 16:50/DL9103/OP AM0338/Y/20200731 18:31/PVR-DL KNNL0NMM SAP PUBLIC,344.00 USD,DL,MAIN CABIN,See rules,1st for USD30  - 2nd for USD55,Anytime,Non-refundable,Free,31~31~31,standard legroom~standard legroom~standard legroom,no~no~no,ONE(0),better~better~n/a,standard~standard~standard,
DCA/20200802 06:59/DL2049/OP DL2049/Y/20200802 08:59/ATL~ATL/20200802 09:56/DL0363/OP DL0363/Y/20200802 12:30/MEX~MEX/20200802 16:50/DL8994/OP AM0338/Y/20200802 18:34/PVR-DL KNNL0NMM SAP PUBLIC,344.00 USD,DL,MAIN CABIN,See rules,1st for USD30  - 2nd for USD55,Anytime,Non-refundable,Free,31~31~31,standard legroom~standard legroom~standard legroom,no~no~no,ONE(0),better~better~n/a,standard~standard~standard,
DCA/20200802 06:59/DL2049/OP DL2049/Y/20200802 08:59/ATL~ATL/20200802 12:38/DL0365/OP DL0365/Y/20200802 15:10/MEX~MEX/20200802 16:50/DL8994/OP AM0338/Y/20200802 18:34/PVR-DL KNNL0NMM SAP PUBLIC,344.00 USD,DL,MAIN CABIN,See rules,1st for USD30  - 2nd for USD55,Anytime,Non-refundable,Free,31~31~31,standard legroom~standard legroom~standard legroom,no~no~no,ONE(0),better~better~n/a,standard~standard~standard,
DCA/20200802 10:10/DL2348/OP DL2348/Y/20200802 11:59/ATL~ATL/20200802 17:03/DL0359/OP DL0359/Y/20200802 19:40/MEX~MEX/20200802 21:05/DL8141/OP AM0340/Y/20200802 22:55/PVR-DL KNNL0NMM SAP PUBLIC,344.00 USD,DL,MAIN CABIN,See rules,1st for USD30  - 2nd for USD55,Anytime,Non-refundable,Free,31~31~31,standard legroom~standard legroom~standard legroom,no~no~no,ONE(0),better~better~n/a,standard~standard~standard,
DCA/20200731 12:43/DL0722/OP DL0722/Y/20200731 14:24/ATL~ATL/20200801 08:26/DL0334/OP DL0334/Y/20200801 10:55/MEX~MEX/20200801 12:45/DL8141/OP AM0334/Y/20200801 14:15/PVR-DL KNNL0NMM SAP PUBLIC,344.00 USD,DL,MAIN CABIN,See rules,1st for USD30  - 2nd for USD55,Anytime,Non-refundable,Free,31~31~31,standard legroom~standard legroom~standard legroom,no~no~no,ONE(0),better~better~better,standard~standard~standard,
DCA/20200801 06:59/DL2049/OP DL2049/Y/20200801 08:59/ATL~ATL/20200801 09:56/DL0363/OP DL0363/Y/20200801 12:30/MEX~MEX/20200801 16:50/DL9103/OP AM0338/Y/20200801 18:34/PVR-DL KNNL0NMM SAP PUBLIC,344.00 USD,DL,MAIN CABIN,See rules,1st for USD30  - 2nd for USD55,Anytime,Non-refundable,Free,31~31~31,standard legroom~standard legroom~standard legroom,no~no~no,ONE(0),better~better~n/a,standard~standard~standard,
DCA/20200801 06:59/DL2049/OP DL2049/Y/20200801 08:59/ATL~ATL/20200801 12:38/DL0365/OP DL0365/Y/20200801 15:10/MEX~MEX/20200801 16:50/DL9103/OP AM0338/Y/20200801 18:34/PVR-DL KNNL0NMM SAP PUBLIC,344.00 USD,DL,MAIN CABIN,See rules,1st for USD30  - 2nd for USD55,Anytime,Non-refundable,Free,31~31~31,standard legroom~standard legroom~standard legroom,no~no~no,ONE(0),better~better~n/a,standard~standard~standard,
DCA/20200801 18:15/DL2110/OP DL2110/Y/20200801 20:18/ATL~ATL/20200802 08:26/DL0334/OP DL0334/Y/20200802 10:55/MEX~MEX/20200802 12:45/DL9105/OP AM0334/Y/20200802 14:15/PVR-DL KNNL0NMM SAP PUBLIC,344.00 USD,DL,MAIN CABIN,See rules,1st for USD30  - 2nd for USD55,Anytime,Non-refundable,Free,31~31~31,standard legroom~standard legroom~standard legroom,no~no~no,ONE(0),better~better~better,standard~standard~standard,
DCA/20200802 20:06/DL2093/OP DL2093/Y/20200802 22:06/ATL~ATL/20200803 08:26/DL0334/OP DL0334/Y/20200803 10:55/MEX~MEX/20200803 21:05/DL9103/OP AM0340/Y/20200803 22:55/PVR-DL KNNL0NMM SAP PUBLIC,344.00 USD,DL,MAIN CABIN,See rules,1st for USD30  - 2nd for USD55,Anytime,Non-refundable,Free,31~31~31,standard legroom~standard legroom~standard legroom,no~no~no,ONE(0),better~better~n/a,standard~standard~standard,
DCA/20200802 20:06/DL2093/OP DL2093/Y/20200802 22:06/ATL~ATL/20200803 17:03/DL0359/OP DL0359/Y/20200803 19:40/MEX~MEX/20200803 21:05/DL9103/OP AM0340/Y/20200803 22:55/PVR-DL KNNL0NMM SAP PUBLIC,344.00 USD,DL,MAIN CABIN,See rules,1st for USD30  - 2nd for USD55,Anytime,Non-refundable,Free,31~31~31,standard legroom~standard legroom~standard legroom,no~no~no,ONE(0),better~better~n/a,standard~standard~standard,
DCA/20200802 20:06/DL2093/OP DL2093/Y/20200802 22:06/ATL~ATL/20200803 09:56/DL0363/OP DL0363/Y/20200803 12:30/MEX~MEX/20200803 21:05/DL9103/OP AM0340/Y/20200803 22:55/PVR-DL KNNL0NMM SAP PUBLIC,344.00 USD,DL,MAIN CABIN,See rules,1st for USD30  - 2nd for USD55,Anytime,Non-refundable,Free,31~31~31,standard legroom~standard legroom~standard legroom,no~no~no,ONE(0),better~better~n/a,standard~standard~standard,
DCA/20200802 20:06/DL2093/OP DL2093/Y/20200802 22:06/ATL~ATL/20200803 12:38/DL0365/OP DL0365/Y/20200803 15:10/MEX~MEX/20200803 21:05/DL9103/OP AM0340/Y/20200803 22:55/PVR-DL KNNL0NMM SAP PUBLIC,344.00 USD,DL,MAIN CABIN,See rules,1st for USD30  - 2nd for USD55,Anytime,Non-refundable,Free,31~31~31,standard legroom~standard legroom~standard legroom,no~no~no,ONE(0),better~better~n/a,standard~standard~standard,
DCA/20200731 14:35/DL1281/OP DL1281/Y/20200731 16:25/ATL~ATL/20200801 08:26/DL0334/OP DL0334/Y/20200801 10:55/MEX~MEX/20200801 14:20/DL7984/OP AM0336/Y/20200801 16:00/PVR-DL KNNL0NMM SAP PUBLIC,344.00 USD,DL,MAIN CABIN,See rules,1st for USD30  - 2nd for USD55,Anytime,Non-refundable,Free,31~31~31,standard legroom~standard legroom~standard legroom,no~no~no,ONE(0),better~better~better,standard~standard~standard,
DCA/20200731 14:35/DL1281/OP DL1281/Y/20200731 16:25/ATL~ATL/20200801 09:56/DL0363/OP DL0363/Y/20200801 12:30/MEX~MEX/20200801 14:20/DL7984/OP AM0336/Y/20200801 16:00/PVR-DL KNNL0NMM SAP PUBLIC,344.00 USD,DL,MAIN CABIN,See rules,1st for USD30  - 2nd for USD55,Anytime,Non-refundable,Free,31~31~31,standard legroom~standard legroom~standard legroom,no~no~no,ONE(0),better~better~better,standard~standard~standard,
DCA/20200801 18:15/DL2110/OP DL2110/Y/20200801 20:18/ATL~ATL/20200802 08:26/DL0334/OP DL0334/Y/20200802 10:55/MEX~MEX/20200802 14:20/DL7984/OP AM0336/Y/20200802 16:00/PVR-DL KNNL0NMM SAP PUBLIC,344.00 USD,DL,MAIN CABIN,See rules,1st for USD30  - 2nd for USD55,Anytime,Non-refundable,Free,31~31~31,standard legroom~standard legroom~standard legroom,no~no~no,ONE(0),better~better~n/a,standard~standard~standard,
